people nouns,acronyms,concept nouns,prefixes,suffixes,verbs,adjectives
tyrone,smv,80/20,giga,pill,ascend,kissless
norman,ldar,lookism,beta,max,,hugless
chad,jfl,looksmatch,soy,lite,,sexless
stacy,er,hypergamy,noodle,let,,hypergamous
stacey,awalt,tictac,rice,bux,,
blackops2,aoc,racemix,curry,fuel,,
chaddam,jb,inceldom,muslim,cel,,
chadpreet,jbb,incelosphere,jap,cuck,,
chang,jbw,oneitis,mayo,fish,,
becky,khhv,femceldom,ethni,skin,,
rodger,mgtow,incelism,sand,mog,,
lépine,mra,manosphere,nigger,whore,,
minassian,psl,,brain,rope,,
beierle,pua,,black,cort,,
r9k,fho,,turbo,,,
harper-mercer,fd,,sui,,,
orbiter,,,rope,,,
itcuck,,,sigma,,,
foid,,,cuck,,,
moid,,,cope,,,
normie,,,sub,,,
roastie,,,soi,,,
simp,,,,,,
meathole,,,,,,
femmoid,,,,,,
wahmen,,,,,,
sheboon,,,,,,
ewhore,,,,,,
wagie,,,,,,
mogger,,,,,,
sexhave,,,,,,
chadrone,,,,,,
sigma,,,,,,
doofi,,,,,,
wurstie,,,,,,
mascoid,,,,,,
mandroid,,,,,,
joe,,,,,,
billy,,,,,,
billies,,,,,,
mary,,,,,,
hemermoid,,,,,,
numale,,,,,,
beckies,,,,,,
stacies,,,,,,
